id,brand_name,generic_name,species,dose_mg_per_kg_min,dose_mg_per_kg_max,concentration_value,concentration_unit,concentration_ml,dosage_form,route,frequency,unit_description,notes
"30","Bisolvon (cat)","Bromhexine","cat","0.25","0.5","4","mg/5ml","5","syrup/tablet/injectable","PO/IM","q12h PO","Syrup 4 mg; Tab 8 mg; Amp 4 mg","Category: Mucolytic / Bronchial Secretagogue. Secretolytic agent that disrupts acid mucopolysaccharide fibers in bronchial sputum, reducing viscosity and enhancing antibiotic penetration into pulmonary secretions. Indications: Acute/chronic bronchopneumonia, tracheobronchitis, and calf respiratory disease. Dosage: Cattle/Horses 0.2-0.5 mg/kg IM/PO q24h; Dogs 2 mg/kg PO q12h; Cats 0.5 mg/kg PO q12h. Ref: Plumb's 9th Ed. p. 147."
"31","Acetylcysteine","Acetylcysteine","dogs and cats","50","50","200","mg/sachet","1","sachet","PO","q8h","Sachets","Mucolytic. 50mg/kg PO q8h. Also used for acetaminophen toxicity."
"32","Ventolin (dog)","Salbutamol","dog","0","0","2","mg/5ml","5","inhaler/tablet/syrup/injectable","Inhalation/PO/IV","q4-6h","Inhaler; Tab 2 mg; Syrup 2 mg; Amp 0.5 mg","Bronchodilator. Dogs: 100-300 ug q4-6h. Dose is per animal."
"33","Ventolin (cat)","Salbutamol","cat","0","0","2","mg/5ml","5","inhaler/tablet/syrup/injectable","Inhalation/PO/IV","q4-6h","Inhaler; Tab 2 mg; Syrup 2 mg; Amp 0.5 mg","Bronchodilator. Cats: 100 ug q4-6h. Dose is per animal."
"34","Aironyl (dog)","Terbutaline","dog","0.03","0.05","1.5","mg/5ml","5","tablet/syrup","PO","q8-12h","Tab 2.5 mg; Syrup 1.5 mg","Category: Bronchodilator (Beta-2 Agonist). Terbutaline relaxes bronchial smooth muscle. Indications: Canine asthma, chronic bronchitis, and collapsing trachea. Dosage: Dogs 0.03-0.05 mg/kg (or 1.25-5 mg per dog) PO q8-12h. Ref: Plumb's 9th Ed. p. 1105."
"35","Aironyl (cat)","Terbutaline","cat","0.03","0.05","1.5","mg/5ml","5","tablet/syrup","PO","q8-12h","Tab 2.5 mg; Syrup 1.5 mg","Category: Bronchodilator (Beta-2 Agonist). Terbutaline relaxes bronchial smooth muscle. Indications: Feline allergic asthma and bronchospasm. Dosage: Cats 0.03-0.05 mg/kg (or 0.3-1.25 mg per cat) PO q8-12h. Ref: Plumb's 9th Ed. p. 1105."
"36","Etaphylline (dog)","Theophylline","dog","15","20","500","mg/amp","5","injectable/syrup","IV/PO","q12-24h","Amp 500 mg; Syrup 125 mg","Bronchodilator. Dogs: 15-20mg/kg q12-24h."
"37","Etaphylline (cat)","Theophylline","cat","10","10","500","mg/amp","5","injectable/syrup","IV/PO","q12-24h","Amp 500 mg; Syrup 125 mg","Bronchodilator. Cats: 10mg/kg q12-24h."
"38","Mucogel / Epicogel","Aluminium Antacids","dogs and cats","0.5","1","1","ml/dose","1","suspension","PO","q6-8h","Suspension","Category: Antacid (Aluminium/Magnesium Hydroxide). Neutralizes gastric acid and protects mucosal lining. Indications: Gastric ulcers, reflux esophagitis, hyperphosphatemia in renal disease. Dosage: Dogs/Cats 0.5-1 ml/kg PO q6-8h. Give 1-2 hours apart from other medications. Ref: Plumb's 9th Ed. p. 48."
"39","Ranitack / Rani (dog)","Ranitidine","dog","2","2","50","mg/amp","2","tablet/injectable/syrup","PO/IV/IM","q8-12h","Tab 75, 150 mg; Amp 50 mg; Noerosive Syrup","H2 blocker. Dogs: 2mg/kg q8-12h."
"40","Ranitack / Rani (cat)","Ranitidine","cat","2.5","3.5","50","mg/amp","2","tablet/injectable/syrup","PO/IV/IM","q8-12h","Tab 75, 150 mg; Amp 50 mg; Noerosive Syrup","H2 blocker. Cats: 2.5-3.5mg/kg q8-12h."
"41","Antodine","Famotidine","dogs and cats","0.5","1","20","mg/amp","2","tablet/injectable","PO/IV","q12-24h","Tab 20, 40 mg; Amp 20 mg","H2 blocker. 0.5-1mg/kg q12-24h."
"42","Risek","Omeprazole","dogs and cats","0.5","1.5","40","mg/vial","10","capsule/injectable","PO/IV","q24h","Cap 10, 20, 40 mg; Vial 40 mg","Proton pump inhibitor. 0.5-1.5mg/kg q24h."
"43","Controloc / Pantoloc","Pantoprazole","dogs and cats","0.7","1","40","mg/vial","10","tablet/injectable","IV/PO","q24h","Tab 20, 40 mg; Vial 40 mg","Proton pump inhibitor. 0.7-1mg/kg IV q24h."
"44","Egycusate (dog oral)","Docusate Sodium","dog","0","0","50","mg/5ml","5","syrup","PO","q12h","Syrup","Stool softener. Dogs: 50-100mg PO q12h. Dose is per animal."
"45","Egycusate (dog rectal)","Docusate Sodium","dog","0","0","50","mg/ml","1","injectable","Rectal","q12h","5% solution","Stool softener. Dogs: 10-15ml (5%) rectal q12h."
"46","Egycusate (cat)","Docusate Sodium","cat","0","0","50","mg/5ml","5","syrup/enema","PO/Rectal","q12h","Syrup, 5% solution","Stool softener. Cats: 50mg PO or 2ml (5%) rectal q12h."
"47","Lactulose (dog)","Lactulose","dogs and cats","0","0","3300","mg/5ml","5","syrup","PO","q8h","Syrup","Category: Laxative / Ammonia Reducer. Synthetic non-absorbable disaccharide that acidifies colonic contents, trapping ammonia as unabsorbable ammonium ions and drawing water into bowel lumen. Indications: Hepatic encephalopathy and chronic constipation. Dosage: Dogs: 0.5-1 ml/kg (or 5-15 ml) PO q8h titrated to 2-3 soft stools/day; Cats: 0.5-1 ml/kg (or 2-5 ml) PO q8-12h; Cattle: 50-100 ml PO. Ref: Plumb's 9th Ed. p. 656. | DOSING: Cattle/Horses: 250-500 g Epsom salts or 1-2 Liters Mineral Oil PO via stomach tube; Sheep: 50-100 g. Ref: Merck Vet Manual."
"48","Lactulose (cat)","Lactulose","dogs and cats","0","0","3300","mg/5ml","5","syrup","PO","q24h","Syrup","Category: Laxative / Ammonia Reducer. Synthetic non-absorbable disaccharide that acidifies colonic contents, trapping ammonia as unabsorbable ammonium ions and drawing water into bowel lumen. Indications: Hepatic encephalopathy and chronic constipation. Dosage: Dogs: 0.5-1 ml/kg (or 5-15 ml) PO q8h titrated to 2-3 soft stools/day; Cats: 0.5-1 ml/kg (or 2-5 ml) PO q8-12h; Cattle: 50-100 ml PO. Ref: Plumb's 9th Ed. p. 656. | DOSING: Cattle/Horses: 250-500 g Epsom salts or 1-2 Liters Mineral Oil PO via stomach tube; Sheep: 50-100 g. Ref: Merck Vet Manual."
"49","Paraffin Oil (dog)","Paraffin","dog","0","0","1","ml/dose","1","oil","PO","q12-24h","Oil","Lubricant laxative. Dogs: 1-2 tablespoons q12-24h. | DOSING: Cattle/Horses: 250-500 g Epsom salts or 1-2 Liters Mineral Oil PO via stomach tube; Sheep: 50-100 g. Ref: Merck Vet Manual."
"50","Paraffin Oil (cat)","Paraffin","cat","0","0","1","ml/dose","1","oil","PO","q12-24h","Oil","Lubricant laxative. Cats: 10-25mm (small amount) q12-24h. | DOSING: Cattle/Horses: 250-500 g Epsom salts or 1-2 Liters Mineral Oil PO via stomach tube; Sheep: 50-100 g. Ref: Merck Vet Manual."
"51","Phosphate Enema","Phosphate Enema","dog","0","0","1","bottle/dose","1","enema","Rectal","Once","Enema, Enemax","⚠️ DOGS ONLY - DO NOT USE IN CATS! Dogs: 60-128ml. Dose is per animal."
"52","Glycerin Suppository (dog)","Glycerin","dog","0","0","1","supp/dose","1","suppository","Rectal","Once","Suppository","Laxative. Dogs: 1-2 small suppositories rectally. | DOSING: Cattle/Horses: 250-500 g Epsom salts or 1-2 Liters Mineral Oil PO via stomach tube; Sheep: 50-100 g. Ref: Merck Vet Manual."
"53","Glycerin Suppository (cat)","Glycerin","cat","0","0","5","% solution","1","solution","Rectal","Once","5% solution","Laxative. Cats: 2ml of 5% solution rectally. | DOSING: Cattle/Horses: 250-500 g Epsom salts or 1-2 Liters Mineral Oil PO via stomach tube; Sheep: 50-100 g. Ref: Merck Vet Manual."
"54","Streptoquin","Streptomycin / Sulphonamide","dogs and cats","0","0","300","mg/5ml","5","syrup","PO","q8-12h","Syrup","Antidiarrheal. 2-5ml per animal q8-12h. Dose is per animal."
"55","Flagyl / Flagelat (dog)","Metronidazole","dog","10","25","125","mg/5ml","5","tablet/syrup/injectable","PO/IV/SC","q12h","Syrup 125, 200 mg; Tab 250, 500 mg; Vial 500 mg","Category: Antiprotozoal / Antibiotic (Nitroimidazole). Potent anaerobic bactericidal agent and antiprotozoal. Indications: Giardiasis, Trichomoniasis, anaerobic sepsis, hepatic encephalopathy, and canine/feline chronic diarrhea. Dosage: Dogs 10-25 mg/kg PO/IV q12h; Cats 8-15 mg/kg PO/IV q12h; Cattle (non-food) 10-20 mg/kg PO/IV q12h. ⚠️ Note: Prohibited in food-producing animals in many jurisdictions. Ref: Plumb's 9th Ed. p. 748."
"56","Flagyl / Flagelat (cat)","Metronidazole","cat","8","10","125","mg/5ml","5","tablet/syrup/injectable","PO/IV/SC","q12h","Syrup 125, 200 mg; Tab 250, 500 mg; Vial 500 mg","Category: Antiprotozoal / Antibiotic (Nitroimidazole). Potent anaerobic bactericidal agent and antiprotozoal. Indications: Giardiasis, Trichomoniasis, anaerobic sepsis, hepatic encephalopathy, and canine/feline chronic diarrhea. Dosage: Dogs 10-25 mg/kg PO/IV q12h; Cats 8-15 mg/kg PO/IV q12h; Cattle (non-food) 10-20 mg/kg PO/IV q12h. ⚠️ Note: Prohibited in food-producing animals in many jurisdictions. Ref: Plumb's 9th Ed. p. 748."
"57","Kapect Compound","Sulphonamide / Trimethoprim","dogs and cats","15","15","120","mg/5ml","5","syrup","PO","q12h","Syrup 120 mg","Antidiarrheal. 15mg/kg PO q12h."
"58","Antinal","Nifuroxazide","dogs and cats","4.4","4.4","200","mg/5ml","5","capsule/syrup","PO","q8h","Cap; Syrup 200 mg","Intestinal antiseptic. 4.4mg/kg q8h. | DOSING: Apply topically to affected area BID or as directed on label. For external veterinary use only."
"59","Dicynone / Haemostop","Ethamsylate","dogs and cats","0","0","250","mg/amp","2","tablet/injectable","PO/IV/IM","q8-24h","Tab 250, 500 mg; Amp 250 mg","Hemostatic. 1 tablet/ampoule q8-24h. Dose is per animal."
"60","Epicozyme / Becozyme / Neurotone","Vitamin B Complex","dogs and cats","0","0","1","ml/dose","1","syrup/injectable/tablet","PO/IM","per label","Syrup, Amp, Tab","B vitamin supplement. 1-4ml daily. Dose is per animal. | DOSING: Per-animal dosing per product label. Cattle/Horses 5-10 mL IM/SC. (NOT standard mg/kg weight-based)"
"61","Hepaticum / Hepatofort","Liver Tonic","dogs and cats","0","0","1","ml/dose","1","syrup/capsule","PO","q8-12h","Syrup, Cap","Liver support. 2-5ml per animal q8-12h."
"62","Totavit / Sansovit / Halorang (dog)","Multivitamin","dog","0","0","1","ml/dose","1","syrup","PO","q24h","Syrup","Multivitamin. Dogs: 1-5ml daily. Dose is per animal. | DOSING: Volume-based dosing per label. Cattle/Horses 10-25 mL IM/SC/IV; Calves/Foals 5-10 mL. (Not standard mg/kg). Ref: Merck Vet Manual."
"63","Totavit / Sansovit / Halorang (cat)","Multivitamin","cat","0","0","1","ml/dose","1","syrup","PO","q24h","Syrup","Multivitamin. Cats: 0.5-3ml daily. Dose is per animal. | DOSING: Volume-based dosing per label. Cattle/Horses 10-25 mL IM/SC/IV; Calves/Foals 5-10 mL. (Not standard mg/kg). Ref: Merck Vet Manual."
"64","Hydrosafe / Hydran (dog)","Minerals (Rehydration)","dog","0","0","1","sachet/200ml","200","sachet","PO","As needed","Sachets","Oral rehydration. Dogs: 1-3 sachets. Dose is per animal. | DOSING: Volume-based dosing per label. Cattle/Horses 10-25 mL IM/SC/IV; Calves/Foals 5-10 mL. (Not standard mg/kg). Ref: Merck Vet Manual."
"65","Hydrosafe / Hydran (cat)","Minerals (Rehydration)","cat","0","0","1","sachet/200ml","200","sachet","PO","As needed","Sachets","Oral rehydration. Cats: 0.3-0.6 sachets. Dose is per animal. | DOSING: Volume-based dosing per label. Cattle/Horses 10-25 mL IM/SC/IV; Calves/Foals 5-10 mL. (Not standard mg/kg). Ref: Merck Vet Manual."
"66","Cal-Bor-Mag (Injectable)","Calcium","dogs and cats","0","0","200","mg/ml","1","injectable","IV","As needed","Injectable","Category: Electrolyte / Mineral (Calcium). Calcium borogluconate formulation for acute hypocalcemia (Milk fever / Parturient paresis in cattle, eclampsia in bitches). Indications: Tremors, recumbency, loss of consciousness due to acute calcium deficiency. Dosage: Cattle: 250-500 ml IV slowly by gravity over 15-20 minutes with cardiac auscultation; Bitches: 1-1.5 ml/kg 10% solution slowly IV. Ref: Plumb's 9th Ed. p. 165."
"67","Osteocare / Decal-B12 (dog)","Calcium","dog","5","22","150","mg/5ml","5","tablet/syrup","PO","q24h","Tab, Syrup","Category: Electrolyte / Mineral (Calcium). Calcium borogluconate formulation for acute hypocalcemia (Milk fever / Parturient paresis in cattle, eclampsia in bitches). Indications: Tremors, recumbency, loss of consciousness due to acute calcium deficiency. Dosage: Cattle: 250-500 ml IV slowly by gravity over 15-20 minutes with cardiac auscultation; Bitches: 1-1.5 ml/kg 10% solution slowly IV. Ref: Plumb's 9th Ed. p. 165."
"68","Osteocare / Decal-B12 (cat)","Calcium","cat","10","25","150","mg/5ml","5","tablet/syrup","PO","q24h","Tab, Syrup","Category: Electrolyte / Mineral (Calcium). Calcium borogluconate formulation for acute hypocalcemia (Milk fever / Parturient paresis in cattle, eclampsia in bitches). Indications: Tremors, recumbency, loss of consciousness due to acute calcium deficiency. Dosage: Cattle: 250-500 ml IV slowly by gravity over 15-20 minutes with cardiac auscultation; Bitches: 1-1.5 ml/kg 10% solution slowly IV. Ref: Plumb's 9th Ed. p. 165."
"69","Diflucan (dog)","Fluconazole","dog","2.5","5","150","mg/cap","1","capsule","PO","q12h","Cap 150 mg","Systemic antifungal. Dogs: 2.5-5mg/kg q12h."
"70","Diflucan (cat)","Fluconazole","cat","0","0","150","mg/cap","1","capsule","PO","q12h","Cap 150 mg","Systemic antifungal. Cats: 50-100mg per cat q12h. Dose per animal."
"71","Itraconazole / Itrapex","Itraconazole","dogs and cats","5","5","100","mg/cap","1","capsule","PO","q24h","Cap 100 mg","Antifungal. 5mg/kg daily. Pulse therapy: 1 week on, 1 week off."
"72","Lamasil / Lamafin","Terbinafine","dogs and cats","20","40","250","mg/tab","1","tablet","PO","q24h","Tab 125, 250 mg","Antifungal. 20-40mg/kg daily. Pulse therapy recommended."
"73","Tobrin / Ciprocin / Tobrex","Eye Antibiotic","dogs and cats","0","0","3","mg/ml","1","eye drops","Ophthalmic","q6-12h","Eye drops","Ophthalmic antibiotic. 1 drop q6-12h."
"74","Tobradex / Isoptomaxitrol","Eye Antibiotic + Steroid","dogs and cats","0","0","3","mg/ml","1","eye drops","Ophthalmic","q6-12h","Eye drops","Combined antibiotic/steroid. 1 drop q6-12h. Avoid with corneal ulcers."
"75","Otal / Otosept","Ear Antibiotic + Steroid","dogs and cats","0","0","1","drop/dose","1","ear drops","Otic","q8-12h","Ear drops","Otic preparation. 1-4 drops q8-12h."
